Country,Date,Vaccine_Manufacturer,Total_Vaccinations,CountrywiseTotalVaccination,Percentage_of_Vaccination_2,Total_Percentage_of_Vaccination_2,Protection_from_Severe_Disease_Alpha_Ancestral,Protection_from_Infection_Alpha_Ancestral,Protection_from_Severe_Disease_Beta_Gamma_Delta,Protection_from_Infection_Beta_Gamma_Delta,Protection_from_Severe_Disease_Omicron,Protection_from_Infection_Omicron,Omicorn_Severe_Disease_Efficacy,Omicorn_Infection_Efficacy,Alpha_Ancestral_Severe_Disease_Efficacy,Alpha_Ancestral_Infection_Efficacy,Beta_Gamma_Delta_Severe_Disease_Efficacy,Beta_Gamma_Delta_Infection_Efficacy,Total_Omicorn_Severe_Disease_Efficacy,Total_Omicorn_Infection_Efficacy,Total_Alpha_Ancestral_Severe_Disease_Efficacy,Total_Alpha_Ancestral_Infection_Efficacy,Total_Beta_Gamma_Delta_Severe_Disease_Efficacy,Total_Beta_Gamma_Delta_Infection_Efficacy,Susceptible_BreakOut_for_Omicorn_Severe_Disease,Susceptible_BreakOut_for_Omicorn_Infection,Susceptible_BreakOut_for_Alpha_Ancestral_Severe_Disease,Susceptible_BreakOut_for_Alpha_Ancestral_Infection,Susceptible_BreakOut_for_Beta_Gamma_Delta_Severe_Disease,Susceptible_BreakOut_for_Beta_Gamma_Delta_Infection
Belgium,2022-08-19,Oxford/AstraZeneca,2848551,25878422,0.11007437006785036,100.0,94,63,94,69,71,36,7.8152802748173755,3.962677322442613,10.346990786377933,6.934685314274573,10.346990786377933,7.595131534681674,71.8085697420036,43.60472582138123,95.07462630449416,84.23759536033535,94.90920300318157,83.18578872390287,28.1914302579964,56.39527417861877,4.92537369550584,15.762404639664652,5.090796996818426,16.814211276097126
Belgium,2022-09-16,Novavax,358,25878422,1.3833919239743443e-05,100.0,89,83,86,82,65,43,0.0008992047505833238,0.0005948585273089681,0.0012312188123371664,0.0011482152968987059,0.0011897170546179361,0.0011343813776589623,71.8085697420036,43.60472582138123,95.07462630449416,84.23759536033535,94.90920300318157,83.18578872390287,28.1914302579964,56.39527417861877,4.92537369550584,15.762404639664652,5.090796996818426,16.814211276097126
Belgium,2022-09-30,Johnson&Johnson,427982,25878422,0.016538179955485694,100.0,86,72,76,64,57,33,0.9426762574626846,0.5457599385310279,1.4222834761717698,1.19074895679497,1.2569016766169128,1.0584435171510844,71.8085697420036,43.60472582138123,95.07462630449416,84.23759536033535,94.90920300318157,83.18578872390287,28.1914302579964,56.39527417861877,4.92537369550584,15.762404639664652,5.090796996818426,16.814211276097126
Belgium,2022-09-30,Moderna,4316874,25878422,0.1668136488384029,100.0,97,92,97,91,73,48,12.177396365203412,8.00705514424334,16.180923937325083,15.346855693133067,16.180923937325083,15.180042044294664,71.8085697420036,43.60472582138123,95.07462630449416,84.23759536033535,94.90920300318157,83.18578872390287,28.1914302579964,56.39527417861877,4.92537369550584,15.762404639664652,5.090796996818426,16.814211276097126
Belgium,2022-09-30,Pfizer/BioNTech,18284657,25878422,0.7065599672190214,100.0,95,86,95,84,72,44,50.87231763976954,31.08863855763694,67.12319688580703,60.76415718083584,67.12319688580703,59.351037246397794,71.8085697420036,43.60472582138123,95.07462630449416,84.23759536033535,94.90920300318157,83.18578872390287,28.1914302579964,56.39527417861877,4.92537369550584,15.762404639664652,5.090796996818426,16.814211276097126
Bulgaria,2022-04-22,Oxford/AstraZeneca,478547,4548945,0.10519955725998006,100.0,94,63,94,69,71,36,7.469168565458585,3.7871840613592824,9.888758382438127,6.627572107378744,9.888758382438127,7.258769450938624,70.26585548956956,42.328976059284074,94.07391867784729,82.6263889759054,92.91343861049101,80.88347254143544,29.73414451043044,57.671023940715926,5.9260813221527116,17.3736110240946,7.0865613895089865,19.116527458564562
Bulgaria,2022-09-30,Johnson&Johnson,527896,4548945,0.1160480067356277,100.0,86,72,76,64,57,33,6.614736383930779,3.8295842222757144,9.980128579263983,8.355456484965195,8.819648511907706,7.427072431080173,70.26585548956956,42.328976059284074,94.07391867784729,82.6263889759054,92.91343861049101,80.88347254143544,29.73414451043044,57.671023940715926,5.9260813221527116,17.3736110240946,7.0865613895089865,19.116527458564562
Bulgaria,2022-09-30,Moderna,508459,4548945,0.11177514786395527,100.0,97,92,97,91,73,48,8.159585794068734,5.365207097469853,10.842189342803662,10.283313603483885,10.842189342803662,10.17153845561993,70.26585548956956,42.328976059284074,94.07391867784729,82.6263889759054,92.91343861049101,80.88347254143544,29.73414451043044,57.671023940715926,5.9260813221527116,17.3736110240946,7.0865613895089865,19.116527458564562
Bulgaria,2022-09-30,Pfizer/BioNTech,3034043,4548945,0.666977288140437,100.0,95,86,95,84,72,44,48.022364746111464,29.347000678179228,63.362842373341515,57.36004678007758,63.362842373341515,56.02609220379671,70.26585548956956,42.328976059284074,94.07391867784729,82.6263889759054,92.91343861049101,80.88347254143544,29.73414451043044,57.671023940715926,5.9260813221527116,17.3736110240946,7.0865613895089865,19.116527458564562
Canada,2022-09-11,Medicago,863,90191204,9.56856058823652e-06,100.0,89,75,89,75,65,43,0.0006219564382353738,0.0004114481052941704,0.0008516018923530503,0.000717642044117739,0.0008516018923530503,0.000717642044117739,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Canada,2022-10-09,Johnson&Johnson,23263,90191204,0.0002579298087649434,100.0,86,72,76,64,57,33,0.014701999099601775,0.008511683689243132,0.022181963553785135,0.018570946231075927,0.0196026654661357,0.01650750776095638,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Canada,2022-10-09,Moderna,26844916,90191204,0.2976445020070915,100.0,97,92,97,91,73,48,21.72804864651768,14.286936096340394,28.871516694687877,27.38329418465242,28.871516694687877,27.08564968264533,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Canada,2022-10-09,Novavax,25478,90191204,0.00028248874468955976,100.0,89,83,86,82,65,43,0.018361768404821385,0.01214701602165107,0.02514149827737082,0.02344656580923346,0.02429403204330214,0.0231640770645439,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Canada,2022-10-09,Oxford/AstraZeneca,2814445,90191204,0.031205315764495173,100.0,94,63,94,69,71,36,2.2155774192791573,1.1233913675218261,2.9332996818625463,1.965934893163196,2.9332996818625463,2.153166787750167,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Canada,2022-10-09,Pfizer/BioNTech,60482239,90191204,0.6706001951143705,100.0,95,86,95,84,72,44,48.283214048234676,29.506408585032304,63.7070185358652,57.671616779835865,63.7070185358652,56.33041638960712,72.26052583797417,44.93780619671071,95.56000997613913,87.06358101173592,95.55658321181741,85.60962208687224,27.73947416202583,55.06219380328929,4.439990023860872,12.93641898826408,4.443416788182589,14.390377913127764
Chile,2021-05-31,CanSino,0,34560792,0.0,100.0,66,62,64,61,48,32,0.0,0.0,0.0,0.0,0.0,0.0,45.71100471308644,28.859569074690185,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702488,54.28899528691356,71.14043092530981,38.795592647298136,43.641533793554274,39.54625238333659,44.76363785297512
Chile,2022-02-07,Moderna,0,34560792,0.0,100.0,97,92,97,91,73,48,0.0,0.0,0.0,0.0,0.0,0.0,45.71100471308644,28.859569074690185,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702488,54.28899528691356,71.14043092530981,38.795592647298136,43.641533793554274,39.54625238333659,44.76363785297512
Chile,2022-04-30,Oxford/AstraZeneca,549673,34560792,0.015904525567585374,100.0,94,63,94,69,71,36,1.1292213152985615,0.5725629204330734,1.495025403353025,1.0019851107578785,1.495025403353025,1.0974122641633908,45.71100471308644,28.859569074690185,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702488,54.28899528691356,71.14043092530981,38.795592647298136,43.641533793554274,39.54625238333659,44.76363785297512
Chile,2022-08-30,Pfizer/BioNTech,8067724,34560792,0.2334357383939581,100.0,95,86,95,84,72,44,16.807373164364982,10.271172489334155,22.176395147426017,20.075473501880396,22.176395147426017,19.60860202509248,45.71100471308644,28.859569074690185,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702488,54.28899528691356,71.14043092530981,38.795592647298136,43.641533793554274,39.54625238333659,44.76363785297512
Chile,2022-08-30,Sinovac,25943395,34560792,0.7506597360384565,100.0,50,47,49,46,37,24,27.77441023342289,18.015833664922955,37.532986801922824,35.28100759380745,36.78232706588437,34.530347857769,45.71100471308644,28.859569074690185,61.204407352701864,56.358466206445726,60.45374761666341,55.23636214702488,54.28899528691356,71.14043092530981,38.795592647298136,43.641533793554274,39.54625238333659,44.76363785297512
Croatia,2022-09-06,Novavax,1381,5283799,0.00026136497622260047,100.0,89,83,86,82,65,43,0.01698872345446903,0.01123869397757182,0.02326148288381144,0.021693293026475838,0.02247738795514364,0.02143192805025324,71.40756073423687,43.10346248977298,94.73761019296911,83.56802387827395,94.34977693133294,82.29437077375579,28.592439265763133,56.89653751022702,5.262389807030885,16.431976121726052,5.65022306866706,17.705629226244213
Croatia,2022-09-30,Oxford/AstraZeneca,568508,5283799,0.10759455459982487,100.0,94,63,94,69,71,36,7.639213376587565,3.8734039655936954,10.113888132383538,6.778456939788967,10.113888132383538,7.4240242673879155,71.40756073423687,43.10346248977298,94.73761019296911,83.56802387827395,94.34977693133294,82.29437077375579,28.592439265763133,56.89653751022702,5.262389807030885,16.431976121726052,5.65022306866706,17.705629226244213
Croatia,2022-10-04,Johnson&Johnson,204509,5283799,0.03870491667075148,100.0,86,72,76,64,57,33,2.2061802502328343,1.2772622501347988,3.3286228336846273,2.7867540002941067,2.9415736669771126,2.477114666928095,71.40756073423687,43.10346248977298,94.73761019296911,83.56802387827395,94.34977693133294,82.29437077375579,28.592439265763133,56.89653751022702,5.262389807030885,16.431976121726052,5.65022306866706,17.705629226244213
Croatia,2022-10-04,Moderna,515480,5283799,0.09755859373151779,100.0,97,92,97,91,73,48,7.121777342400799,4.682812499112854,9.463183591957225,8.975390623299637,9.463183591957225,8.877832029568118,71.40756073423687,43.10346248977298,94.73761019296911,83.56802387827395,94.34977693133294,82.29437077375579,28.592439265763133,56.89653751022702,5.262389807030885,16.431976121726052,5.65022306866706,17.705629226244213
Croatia,2022-10-04,Pfizer/BioNTech,3993921,5283799,0.7558805700216833,100.0,95,86,95,84,72,44,54.4234010415612,33.258745080954064,71.80865415205992,65.00572902186477,71.80865415205992,63.4939678818214,71.40756073423687,43.10346248977298,94.73761019296911,83.56802387827395,94.34977693133294,82.29437077375579,28.592439265763133,56.89653751022702,5.262389807030885,16.431976121726052,5.65022306866706,17.705629226244213
Cyprus,2022-03-11,Oxford/AstraZeneca,254531,1744448,0.14590919305132627,100.0,94,63,94,69,71,36,10.359552706644164,5.252730949847746,13.715464146824669,9.192279162233556,13.715464146824669,10.067734320541513,71.69750775030269,43.090026185933894,94.91779175991489,83.07364507282533,94.73874658344646,82.24819541769088,28.30249224969731,56.909973814066106,5.082208240085109,16.92635492717467,5.261253416553544,17.75180458230912
Cyprus,2022-07-29,Moderna,197589,1744448,0.1132673487544484,100.0,97,92,97,91,73,48,8.268516459074734,5.436832740213523,10.986932829181494,10.420596085409253,10.986932829181494,10.307328736654805,71.69750775030269,43.090026185933894,94.91779175991489,83.07364507282533,94.73874658344646,82.24819541769088,28.30249224969731,56.909973814066106,5.082208240085109,16.92635492717467,5.261253416553544,17.75180458230912
Cyprus,2022-09-02,Novavax,895,1744448,0.0005130562791209598,100.0,89,83,86,82,65,43,0.033348658142862385,0.02206142000220127,0.04566200884176542,0.04258367116703966,0.04412284000440254,0.0420706148879187,71.69750775030269,43.090026185933894,94.91779175991489,83.07364507282533,94.73874658344646,82.24819541769088,28.30249224969731,56.909973814066106,5.082208240085109,16.92635492717467,5.261253416553544,17.75180458230912
Cyprus,2022-09-16,Pfizer/BioNTech,1260468,1744448,0.7225598011519977,100.0,95,86,95,84,72,44,52.02430568294383,31.792631250687897,68.64318110943978,62.140142899071805,68.64318110943978,60.69502329676781,71.69750775030269,43.090026185933894,94.91779175991489,83.07364507282533,94.73874658344646,82.24819541769088,28.30249224969731,56.909973814066106,5.082208240085109,16.92635492717467,5.261253416553544,17.75180458230912
Cyprus,2022-09-30,Johnson&Johnson,30965,1744448,0.017750600763106725,100.0,86,72,76,64,57,33,1.0117842434970834,0.585769825182522,1.5265516656271785,1.2780432549436842,1.3490456579961112,1.1360384488388304,71.69750775030269,43.090026185933894,94.91779175991489,83.07364507282533,94.73874658344646,82.24819541769088,28.30249224969731,56.909973814066106,5.082208240085109,16.92635492717467,5.261253416553544,17.75180458230912
Czechia,2021-11-17,Sinopharm/Beijing,38,18239132,2.0834324791333272e-06,100.0,73,68,71,67,53,35,0.00011042192139406634,7.292013676966645e-05,0.0001520905709767329,0.00014167340858106626,0.00014792370601846624,0.00013958997610193292,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2021-12-16,Covaxin,5,18239132,2.7413585251754304e-07,100.0,78,73,76,72,57,38,1.5625743593499953e-05,1.0417162395666635e-05,2.1382596496368358e-05,2.0011917233780643e-05,2.083432479133327e-05,1.97377813812631e-05,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2022-04-20,Sinovac,252,18239132,1.381644696688417e-05,100.0,50,47,49,46,37,24,0.0005112085377747143,0.0003315947272052201,0.0006908223483442085,0.000649373007443556,0.0006770059013773243,0.0006355565604766718,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2022-09-27,Oxford/AstraZeneca,887557,18239132,0.04866223897058259,100.0,94,63,94,69,71,36,3.455018966911364,1.7518406029409732,4.574250463234764,3.065721055146703,4.574250463234764,3.3576944889701985,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
