Country,Date,Vaccine_Manufacturer,Total_Vaccinations,CountrywiseTotalVaccination,Percentage_of_Vaccination_2,Total_Percentage_of_Vaccination_2,Protection_from_Severe_Disease_Alpha_Ancestral,Protection_from_Infection_Alpha_Ancestral,Protection_from_Severe_Disease_Beta_Gamma_Delta,Protection_from_Infection_Beta_Gamma_Delta,Protection_from_Severe_Disease_Omicron,Protection_from_Infection_Omicron
Peru,2022-10-15,Sinopharm/Beijing,21212129,84780770,0.2501997681785622,100.0,73,68,71,67,53,35
Poland,2022-09-30,Oxford/AstraZeneca,5292302,52947094,0.09995453197110307,100.0,94,63,94,69,71,36
Poland,2022-10-04,Johnson&Johnson,2722660,52947094,0.05142227446892553,100.0,86,72,76,64,57,33
Poland,2022-10-04,Moderna,3783258,52947094,0.07145355323939025,100.0,97,92,97,91,73,48
Poland,2022-10-04,Novavax,14950,52947094,0.0002823573282416595,100.0,89,83,86,82,65,43
Poland,2022-10-04,Pfizer/BioNTech,41133924,52947094,0.7768872829923394,100.0,95,86,95,84,72,44
Portugal,2022-02-11,Covaxin,87,23803134,3.6549808945326275e-06,100.0,78,73,76,72,57,38
Portugal,2022-08-12,Novavax,147,23803134,6.175657373520647e-06,100.0,89,83,86,82,65,43
Portugal,2022-09-02,Sinopharm/Beijing,3652,23803134,0.00015342517502107075,100.0,73,68,71,67,53,35
Portugal,2022-09-02,Sinovac,6511,23803134,0.00027353540924484986,100.0,50,47,49,46,37,24
Portugal,2022-09-09,Johnson&Johnson,1137062,23803134,0.047769423975851245,100.0,86,72,76,64,57,33
Portugal,2022-09-16,Oxford/AstraZeneca,2267362,23803134,0.09525476771252055,100.0,94,63,94,69,71,36
Portugal,2022-09-30,Moderna,3693702,23803134,0.15517712919651672,100.0,97,92,97,91,73,48
Portugal,2022-09-30,Pfizer/BioNTech,16694611,23803134,0.7013618878925775,100.0,95,86,95,84,72,44
Romania,2022-02-25,Oxford/AstraZeneca,849559,16827486,0.05048638875706092,100.0,94,63,94,69,71,36
Romania,2022-06-11,Johnson&Johnson,2054653,16827486,0.12210100783919832,100.0,86,72,76,64,57,33
Romania,2022-06-11,Moderna,1008835,16827486,0.059951617252868315,100.0,97,92,97,91,73,48
Romania,2022-06-11,Pfizer/BioNTech,12914439,16827486,0.7674609861508724,100.0,95,86,95,84,72,44
Slovakia,2022-01-14,Sputnik V,37984,6896429,0.005507778010909704,100.0,92,86,89,85,67,44
Slovakia,2022-04-22,Oxford/AstraZeneca,844167,6896429,0.12240639322176738,100.0,94,63,94,69,71,36
Slovakia,2022-10-04,Johnson&Johnson,186260,6896429,0.027008180610573966,100.0,86,72,76,64,57,33
Slovakia,2022-10-04,Moderna,678992,6896429,0.09845559201725995,100.0,97,92,97,91,73,48
Slovakia,2022-10-04,Novavax,3658,6896429,0.0005304194388139137,100.0,89,83,86,82,65,43
Slovakia,2022-10-04,Pfizer/BioNTech,5145368,6896429,0.7460916367006751,100.0,95,86,95,84,72,44
Slovenia,2022-09-02,Johnson&Johnson,135924,2984841,0.04553810403971267,100.0,86,72,76,64,57,33
Slovenia,2022-09-16,Oxford/AstraZeneca,323527,2984841,0.1083900281455528,100.0,94,63,94,69,71,36
Slovenia,2022-09-30,Moderna,237424,2984841,0.07954326545367073,100.0,97,92,97,91,73,48
Slovenia,2022-09-30,Novavax,200,2984841,6.70052441654346e-05,100.0,89,83,86,82,65,43
Slovenia,2022-09-30,Pfizer/BioNTech,2287766,2984841,0.7664615971168983,100.0,95,86,95,84,72,44
South Africa,2022-10-18,Johnson&Johnson,9263824,37724286,0.24556658275785526,100.0,86,72,76,64,57,33
South Africa,2022-10-18,Pfizer/BioNTech,28460462,37724286,0.7544334172421447,100.0,95,86,95,84,72,44
South Korea,2022-09-05,Oxford/AstraZeneca,20325103,129232449,0.15727553843694472,100.0,94,63,94,69,71,36
South Korea,2022-10-17,Johnson&Johnson,1544565,129232449,0.01195183571890679,100.0,86,72,76,64,57,33
South Korea,2022-10-17,Moderna,25252567,129232449,0.19540422854634598,100.0,97,92,97,91,73,48
South Korea,2022-10-17,Novavax,840921,129232449,0.006507042205785329,100.0,89,83,86,82,65,43
South Korea,2022-10-17,Pfizer/BioNTech,81268318,129232449,0.6288538105472257,100.0,95,86,95,84,72,44
South Korea,2022-10-17,SKYCovione,975,129232449,7.544544791532968e-06,100.0,75,70,73,69,55,36
Spain,2022-07-15,Oxford/AstraZeneca,9794598,103045916,0.09505081210593538,100.0,94,63,94,69,71,36
Spain,2022-09-30,Johnson&Johnson,1981073,103045916,0.019225148136875217,100.0,86,72,76,64,57,33
Spain,2022-09-30,Moderna,24111869,103045916,0.2339915053013843,100.0,97,92,97,91,73,48
Spain,2022-09-30,Pfizer/BioNTech,67158376,103045916,0.6517325344558051,100.0,95,86,95,84,72,44
Sweden,2021-11-05,Oxford/AstraZeneca,1322062,21986863,0.0601296328630419,100.0,94,63,94,69,71,36
Sweden,2022-09-30,Moderna,4152280,21986863,0.18885277085685212,100.0,97,92,97,91,73,48
Sweden,2022-09-30,Novavax,6913,21986863,0.0003144150213698061,100.0,89,83,86,82,65,43
Sweden,2022-09-30,Pfizer/BioNTech,16505608,21986863,0.7507031812587361,100.0,95,86,95,84,72,44
Switzerland,2022-10-01,Moderna,9939440,16004728,0.6210314851961245,100.0,97,92,97,91,73,48
Switzerland,2022-10-08,Johnson&Johnson,62859,16004728,0.003927526915796382,100.0,86,72,76,64,57,33
Switzerland,2022-10-08,Novavax,630,16004728,3.9363368124719146e-05,100.0,89,83,86,82,65,43
Switzerland,2022-10-08,Pfizer/BioNTech,6001799,16004728,0.37500162451995434,100.0,95,86,95,84,72,44
Ukraine,2021-09-19,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-20,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-21,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-22,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-23,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-24,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-25,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-26,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-27,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-28,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-29,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-09-30,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
Ukraine,2021-10-01,Johnson&Johnson,20680,34930070,0.0005920400388547747,100.0,86,72,76,64,57,33
